1, 021-->1:, A, B, C, D, 2
2, 021-->2:, A, B, C, D, 1
3, 021-->3:, A, B, C, D, 1
4, 021-->4:, A, B, C, D, 4
5, 021-->5:, A, B, C, D, 3
6, 021-->6:, A, B, C, D, 2
7, 021-->7:, A, B, C, D, 4
8, 021-->8:, A, B, C, D, 1
9, 021-->9:, A, B, C, D, 1
10, 021-->10:, A, B, C, D, 4
11, 021-->11:, A, B, C, D, 3
12, 021-->12:, A, B, C, D, 2
13, 021-->13:, A, B, C, D, 2
14, 021-->14:, A, B, C, D, 3
15, 021-->15:, A, B, C, D, 4
16, 021-->16:, A, B, C, D, 4
17, 021-->17:, A, B, C, D, 4
18, 021-->18:, A, B, C, D, 4
19, 021-->19:, A, B, C, D, 2
20, 021-->20:, A, B, C, D, 4
21, 021-->21:, A, B, C, D, 1
22, 021-->22:, A, B, C, D, 2
23, 021-->23:, A, B, C, D, 1
24, 021-->24:, A, B, C, D, 1
25, 021-->25:, A, B, C, D, 4
26, 021-->26:, A, B, C, D, 1
27, 021-->27:, A, B, C, D, 3
28, 021-->28:, A, B, C, D, 2
29, 021-->29:, A, B, C, D, 1
30, 021-->30:, A, B, C, D, 4
31, 022-->31:, A, B, C, D, 2
32, 022-->32:, A, B, C, D, 4
33, 022-->33:, A, B, C, D, 1
34, 022-->34:, A, B, C, D, 1
35, 022-->35:, A, B, C, D, 1
36, 022-->36:, A, B, C, D, 2
37, 022-->37:, A, B, C, D, 4
38, 022-->38:, A, B, C, D, 1
39, 022-->39:, A, B, C, D, 3
40, 022-->40:, A, B, C, D, 1
41, 022-->41:, A, B, C, D, 3
42, 022-->42:, A, B, C, D, 3
43, 022-->43:, A, B, C, D, 2
44, 022-->44:, A, B, C, D, 4
45, 022-->45:, A, B, C, D, 4
46, 022-->46:, A, B, C, D, 2
47, 022-->47:, A, B, C, D, 3
48, 022-->48:, A, B, C, D, 4
49, 022-->49:, A, B, C, D, 3
50, 022-->50:, A, B, C, D, 4
51, 022-->51:, A, B, C, D, 4
52, 022-->52:, A, B, C, D, 4
53, 022-->53:, A, B, C, D, 1
54, 022-->54:, A, B, C, D, 3
55, 022-->55:, A, B, C, D, 1
56, 022-->56:, A, B, C, D, 1
57, 022-->57:, A, B, C, D, 2
58, 022-->58:, A, B, C, D, 3
59, 022-->59:, A, B, C, D, 1
60, 022-->60:, A, B, C, D, 1
61, 023-->61:, A, B, C, D, 2
62, 023-->62:, A, B, C, D, 1
63, 023-->63:, A, B, C, D, 4
64, 023-->64:, A, B, C, D, 2
65, 023-->65:, A, B, C, D, 2
66, 023-->66:, A, B, C, D, 2
67, 023-->67:, A, B, C, D, 3
68, 023-->68:, A, B, C, D, 4
69, 023-->69:, A, B, C, D, 3
70, 023-->70:, A, B, C, D, 4
71, 023-->71:, A, B, C, D, 4
72, 023-->72:, A, B, C, D, 4
73, 023-->73:, A, B, C, D, 1
74, 023-->74:, A, B, C, D, 3
75, 023-->75:, A, B, C, D, 1
76, 023-->76:, A, B, C, D, 2
77, 023-->77:, A, B, C, D, 1
78, 023-->78:, A, B, C, D, 4
79, 023-->79:, A, B, C, D, 2
80, 023-->80:, A, B, C, D, 1
81, 023-->81:, A, B, C, D, 4
82, 023-->82:, A, B, C, D, 2
83, 023-->83:, A, B, C, D, 2
84, 023-->84:, A, B, C, D, 4
85, 023-->85:, A, B, C, D, 4
86, 023-->86:, A, B, C, D, 3
87, 023-->87:, A, B, C, D, 2
88, 023-->88:, A, B, C, D, 4
89, 023-->89:, A, B, C, D, 2
90, 023-->90:, A, B, C, D, 3
91, 024-->91:, A, B, C, D, 2
92, 024-->92:, A, B, C, D, 1
93, 024-->93:, A, B, C, D, 4
94, 024-->94:, A, B, C, D, 2
95, 024-->95:, A, B, C, D, 2
96, 024-->96:, A, B, C, D, 4
97, 024-->97:, A, B, C, D, 3
98, 024-->98:, A, B, C, D, 3
99, 024-->99:, A, B, C, D, 3
100, 024-->100:, A, B, C, D, 2
101, 024-->101:, A, B, C, D, 1
102, 024-->102:, A, B, C, D, 4
103, 024-->103:, A, B, C, D, 2
104, 024-->104:, A, B, C, D, 1
105, 024-->105:, A, B, C, D, 4
106, 024-->106:, A, B, C, D, 2
107, 024-->107:, A, B, C, D, 4
108, 024-->108:, A, B, C, D, 1
109, 024-->109:, A, B, C, D, 2
110, 024-->110:, A, B, C, D, 2
111, 024-->111:, A, B, C, D, 4
112, 024-->112:, A, B, C, D, 1
113, 024-->113:, A, B, C, D, 2
114, 024-->114:, A, B, C, D, 4
115, 024-->115:, A, B, C, D, 1
116, 024-->116:, A, B, C, D, 2
117, 024-->117:, A, B, C, D, 3
118, 024-->118:, A, B, C, D, 3
119, 024-->119:, A, B, C, D, 4
120, 024-->120:, A, B, C, D, 4
121, 025-->121:, A, B, C, D, 3
122, 025-->122:, A, B, C, D, 3
123, 025-->123:, A, B, C, D, 4
124, 025-->124:, A, B, C, D, 4
125, 025-->125:, A, B, C, D, 1
126, 025-->126:, A, B, C, D, 1
127, 025-->127:, A, B, C, D, 3
128, 025-->128:, A, B, C, D, 4
129, 025-->129:, A, B, C, D, 2
130, 025-->130:, A, B, C, D, 2
131, 025-->131:, A, B, C, D, 4
132, 025-->132:, A, B, C, D, 4
133, 025-->133:, A, B, C, D, 2
134, 025-->134:, A, B, C, D, 2
135, 025-->135:, A, B, C, D, 4
136, 025-->136:, A, B, C, D, 4
137, 025-->137:, A, B, C, D, 3
138, 025-->138:, A, B, C, D, 2
139, 025-->139:, A, B, C, D, 2
140, 025-->140:, A, B, C, D, 2
141, 025-->141:, A, B, C, D, 4
142, 025-->142:, A, B, C, D, 1
143, 025-->143:, A, B, C, D, 2
144, 025-->144:, A, B, C, D, 4
145, 025-->145:, A, B, C, D, 4
146, 025-->146:, A, B, C, D, 4
147, 025-->147:, A, B, C, D, 3
148, 025-->148:, A, B, C, D, 4
149, 025-->149:, A, B, C, D, 3
150, 025-->150:, A, B, C, D, 2
